average_offensiveness;created_on;hateful_meaning;is_about_class;is_about_disability;is_about_ethnicity;is_about_gender;is_about_nationality;is_about_religion;is_about_sexual_orientation;is_unambiguous;is_unambiguous_in;language;nonhateful_meaning;number_of_sightings;number_of_sightings_this_month;number_of_sightings_this_year;plural_of;term;transliteration_of;updated_on;variant_of;vocabulary_id,,,,,,,,,,
50;06/01/2020 18:34;A disrespectful, belittling term used to refer to an adult woman.;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;A term used to refer to a female child.;0;0;0;;Girl;;06/01/2020 18:34;;ayhoGnAxg,,,,,,,,,
0;05/01/2020 15:20;A Caucasian.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;8;0;0;;whitie;;05/01/2020 15:20;whitey;oLVQyHuFA,,,,,,,,,,
50;21/12/2019 14:39;A derogatory term for a person who suffers from a sexually transmitted disease.;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;1;;fish wagon;;21/12/2019 14:39;;WXianaa2P,,,,,,,,,,
50;02/12/2019 16:35;a dirty or promiscuous woman;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;a type of dance;1;0;0;;skank;;02/12/2019 16:35;;CPZaHMujK,,,,,,,,,,
89;03/02/2014 23:40;In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;0;;gun burglar;;23/11/2019 15:12;gin jockey;w9CQ9KeW4,,,,,,,,,
0;01/11/2018 20:34;In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;gun burglar;gun burglars;;23/11/2019 15:12;;AYJoGxaFV,,,,,,,,,
91;01/11/2018 19:42;[1] An offensive term for Pacific Islander [2] Dated reference to Pacific Islander labourers;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;Kanaka maoli can refer in a non-pejorative sense to people of Hawaiian descent;19;0;0;;kanaka;;01/11/2019 19:14;;QgCzdCQBw,,,,,,,,,,
46;18/04/2013 17:34;A poor Appalachian or poor Southerner, a white person  first used in the 19th century.;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;[1] Snack [2] Hacker [3] American musical group [4] British television show;1095;0;87;;cracker;;30/10/2019 22:57;;zzaVUeKA8,,,,,,,,,
31;01/11/2018 20:33;[1] American-born Chinese [2] Australian-born Chinese;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;Letters of the English alphabet;2;0;0;ABC;ABCs;;30/10/2019 22:55;;niaHtmNyk,,,,,,,,,,
28;20/08/2013 18:40;[1] American-born Chinese [2] Australian-born Chinese;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;Letters of the English alphabet;1;0;0;;ABC;;30/10/2019 22:55;;rnAN2dkU6,,,,,,,,,,
53;24/06/2013 04:50;A rural person.;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;78;2;29;;rube;;30/10/2019 22:53;;j7UaZBb9F,,,,,,,,,,
0;11/04/2019 20:25;An Asian woman (or less often a man) who is promiscuous.;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;3;0;1;;whoriental;;30/10/2019 22:50;;WRaKdghPn,,,,,,,,,,
0;11/04/2019 20:27;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;whoriental;whorientals;;30/10/2019 22:50;;jTQCcisbD,,,,,,,,,,
88;09/08/2013 15:28;A rural or unsophisticated person;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A person from Indiana;30;0;0;;hoosier;;30/10/2019 22:47;;zPmE2uCCg,,,,,,,,,,
0;12/04/2019 17:15;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;1;0;1;hooknose;hooknoses;;30/10/2019 22:46;;pbWuDaapo,,,,,,,,,,
0;12/04/2019 17:16;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;37;0;12;;hooknosed;;30/10/2019 22:46;hooknose;arAfRhXak,,,,,,,,,,
0;12/04/2019 17:14;Referring to a stereotypical facial feature of Jewish people;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;50;0;28;;hooknose;;30/10/2019 22:46;;JWkFPrJmY,,,,,,,,,,
