Dimension,Label,Measures,Class,Precision,Recall,F1-score,support,Accuracy_overall
Incivility,INCIVILITY_DUMMY,at least one,0,0.6859504132231405,0.8137254901960784,0.7443946188340808,408.0,0.705045278137128
Incivility,INCIVILITY_DUMMY,at least one,1,0.7370242214532872,0.5835616438356165,0.6513761467889909,365.0,0.705045278137128
Incivility,INCIVILITY_DUMMY,at least one,macro avg,0.7114873173382139,0.6986435670158475,0.6978853828115359,773.0,0.705045278137128
Incivility,INCIVILITY_DUMMY,majority vote,0,0.5777460770328102,0.9926470588235294,0.7303877366997295,408.0,0.6131953428201811
Incivility,INCIVILITY_DUMMY,majority vote,1,0.9583333333333334,0.18904109589041096,0.31578947368421056,365.0,0.6131953428201811
Incivility,INCIVILITY_DUMMY,majority vote,macro avg,0.7680397051830719,0.5908440773569702,0.52308860519197,773.0,0.6131953428201811
Incivility,HATELIST_FOCUSED_DUMMY,at least one,0,0.9194214876033058,0.7259380097879282,0.8113035551504102,613.0,0.7322121604139715
Incivility,HATELIST_FOCUSED_DUMMY,at least one,1,0.4186851211072664,0.75625,0.5389755011135856,160.0,0.7322121604139715
Incivility,HATELIST_FOCUSED_DUMMY,at least one,macro avg,0.6690533043552861,0.741094004893964,0.6751395281319978,773.0,0.7322121604139715
Incivility,HATELIST_FOCUSED_DUMMY,majority vote,0,0.8459343794579173,0.967373572593801,0.9025875190258751,613.0,0.8344113842173351
Incivility,HATELIST_FOCUSED_DUMMY,majority vote,1,0.7222222222222222,0.325,0.44827586206896547,160.0,0.8344113842173351
Incivility,HATELIST_FOCUSED_DUMMY,majority vote,macro avg,0.7840783008400698,0.6461867862969005,0.6754316905474202,773.0,0.8344113842173351
Diversity,LIBERAL_DUMMY,at least one,0,0.8339350180505415,0.36492890995260663,0.5076923076923077,633.0,0.4204398447606727
Diversity,LIBERAL_DUMMY,at least one,1,0.18951612903225806,0.6714285714285714,0.2955974842767295,140.0,0.4204398447606727
Diversity,LIBERAL_DUMMY,at least one,macro avg,0.5117255735413998,0.518178740690589,0.4016448959845186,773.0,0.4204398447606727
Diversity,LIBERAL_DUMMY,majority vote,0,0.8306878306878307,0.7440758293838863,0.785,633.0,0.666235446313066
Diversity,LIBERAL_DUMMY,majority vote,1,0.21359223300970873,0.3142857142857143,0.25433526011560686,140.0,0.666235446313066
Diversity,LIBERAL_DUMMY,majority vote,macro avg,0.5221400318487697,0.5291807718348003,0.5196676300578035,773.0,0.666235446313066
Diversity,CONSERVATIVE_DUMMY,at least one,0,0.8757763975155279,0.42727272727272725,0.5743380855397149,660.0,0.4592496765847348
Diversity,CONSERVATIVE_DUMMY,at least one,1,0.16186252771618626,0.6460176991150443,0.25886524822695034,113.0,0.4592496765847348
Diversity,CONSERVATIVE_DUMMY,at least one,macro avg,0.5188194626158571,0.5366452131938857,0.4166016668833326,773.0,0.4592496765847348
Diversity,CONSERVATIVE_DUMMY,majority vote,0,0.8609271523178808,0.7878787878787878,0.8227848101265823,660.0,0.7102199223803364
Diversity,CONSERVATIVE_DUMMY,majority vote,1,0.17159763313609466,0.25663716814159293,0.20567375886524822,113.0,0.7102199223803364
Diversity,CONSERVATIVE_DUMMY,majority vote,macro avg,0.5162623927269877,0.5222579780101904,0.5142292844959153,773.0,0.7102199223803364
